Facility,Company.x,Total.Stationary.Combusion.2010,diff.11.10,Total.Stationary.Combusion.2011,diff.12.11,Total.Stationary.Combusion.2012,diff.12.10
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,-10447,8141,-8141,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,-10172,8416,-8416,0,-18588
Northwood Pulp Mill,Canfor Pulp Limited Partnership,118885,27139,146024,-46257,99767,-19118
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,93994,113650,-113650,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,9017,28673,-28673,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,8323,27979,-27979,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,6887,26543,-26543,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,6668,26324,-26324,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,50694,70350,-70350,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,39117,58773,-58773,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,378423,398079,-398079,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,21380,41036,-41036,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,173806,193462,-193462,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,14928,34584,-34584,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,14869,34525,-34525,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,146,19802,-19802,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,13982,33638,-33638,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,11313,30969,-30969,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,103111,122767,-122767,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,#VALUE!, -   ,#VALUE!,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,#VALUE!, -   ,#VALUE!,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,#VALUE!, -   ,#VALUE!,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,#VALUE!, -   ,#VALUE!,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,-9751,9905,-9905,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,-6957,12699,-12699,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,-5675,13981,-13981,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,-5350,14306,-14306,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,-5249,14407,-14407,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,-4774,14882,-14882,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,-2029,17627,-17627,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,-19635,21,-21,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,-19595,61,-61,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,-19256,400,-400,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,-18653,1003,-1003,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,-18168,1488,-1488,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,-18137,1519,-1519,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,-1792,17864,-17864,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,-17572,2084,-2084,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,-17171,2485,-2485,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,-16256,3400,-3400,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,-14851,4805,-4805,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,-13338,6318,-6318,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,-12517,7139,-7139,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,-12430,7226,-7226,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,-11515,8141,-8141,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Crew Energy Inc.,19656,-11240,8416,-8416,0,-19656
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,93077,113650,-113650,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,8100,28673,-28673,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,7406,27979,-27979,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,5970,26543,-26543,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,5751,26324,-26324,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,49777,70350,-70350,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,38200,58773,-58773,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,377506,398079,-398079,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,20463,41036,-41036,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,172889,193462,-193462,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,14011,34584,-34584,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,13952,34525,-34525,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,13065,33638,-33638,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,10396,30969,-30969,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,102194,122767,-122767,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,#VALUE!, -   ,#VALUE!,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,#VALUE!, -   ,#VALUE!,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,#VALUE!, -   ,#VALUE!,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,#VALUE!, -   ,#VALUE!,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,-7874,12699,-12699,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,-771,19802,-19802,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,-6592,13981,-13981,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,-6267,14306,-14306,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,-6166,14407,-14407,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,-5691,14882,-14882,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,-2946,17627,-17627,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,-2709,17864,-17864,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,-20552,21,-21,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,-20512,61,-61,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,-20173,400,-400,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,-19570,1003,-1003,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,-19085,1488,-1488,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,-19054,1519,-1519,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,-18489,2084,-2084,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,-18088,2485,-2485,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,-17173,3400,-3400,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,-15768,4805,-4805,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,-14255,6318,-6318,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,-13434,7139,-7139,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,-13347,7226,-7226,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,-12432,8141,-8141,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,-12157,8416,-8416,0,-20573
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Baytex Energy,20573,-10668,9905,-9905,0,-20573
Skookumchuck Operation,Tembec,23088,-23088,0,0,0,-23088
West Coast Reduction Facility,West Coast Reduction Ltd.,23335,-23335,0,0,0,-23335
Town B-90-J/94-B-16,Progress Energy Resources Corp.,23554,-23554,0,0,0,-23554
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,99136,122767,-122767,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,90019,113650,-113650,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,7338,30969,-30969,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,5042,28673,-28673,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,46719,70350,-70350,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,4348,27979,-27979,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,374448,398079,-398079,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,35142,58773,-58773,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,2912,26543,-26543,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,2693,26324,-26324,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,17405,41036,-41036,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,169831,193462,-193462,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,10953,34584,-34584,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,10894,34525,-34525,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,10007,33638,-33638,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,#VALUE!, -   ,#VALUE!,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,#VALUE!, -   ,#VALUE!,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,#VALUE!, -   ,#VALUE!,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,#VALUE!, -   ,#VALUE!,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,-9650,13981,-13981,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,-9325,14306,-14306,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,-9224,14407,-14407,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,-8749,14882,-14882,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,-6004,17627,-17627,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,-5767,17864,-17864,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,-3829,19802,-19802,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,-23610,21,-21,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,-23570,61,-61,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,-23231,400,-400,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,-22628,1003,-1003,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,-22143,1488,-1488,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,-22112,1519,-1519,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,-21547,2084,-2084,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,-21146,2485,-2485,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,-20231,3400,-3400,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,-18826,4805,-4805,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,-17313,6318,-6318,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,-16492,7139,-7139,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,-16405,7226,-7226,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,-15490,8141,-8141,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,-15215,8416,-8416,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,-13726,9905,-9905,0,-23631
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Husky Oil Operations Limited,23631,-10932,12699,-12699,0,-23631
Sierra Sour Gas Plant,EnCana Corporation,96412,-4076,92336,-19647,72689,-23723
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,99030,122767,-122767,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,9901,33638,-33638,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,89913,113650,-113650,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,7232,30969,-30969,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,4936,28673,-28673,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,46613,70350,-70350,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,4242,27979,-27979,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,374342,398079,-398079,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,35036,58773,-58773,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,2806,26543,-26543,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,2587,26324,-26324,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,17299,41036,-41036,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,169725,193462,-193462,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,10847,34584,-34584,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,10788,34525,-34525,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,#VALUE!, -   ,#VALUE!,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,#VALUE!, -   ,#VALUE!,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,#VALUE!, -   ,#VALUE!,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,#VALUE!, -   ,#VALUE!,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,-9756,13981,-13981,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,-9431,14306,-14306,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,-9330,14407,-14407,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,-8855,14882,-14882,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,-6110,17627,-17627,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,-5873,17864,-17864,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,-3935,19802,-19802,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,-23716,21,-21,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,-23676,61,-61,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,-23337,400,-400,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,-22734,1003,-1003,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,-22249,1488,-1488,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,-22218,1519,-1519,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,-21653,2084,-2084,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,-21252,2485,-2485,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,-20337,3400,-3400,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,-18932,4805,-4805,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,-17419,6318,-6318,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,-16598,7139,-7139,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,-16511,7226,-7226,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,-15596,8141,-8141,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,-15321,8416,-8416,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,-13832,9905,-9905,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,23737,-11038,12699,-12699,0,-23737
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Apache Canada Ltd.,24549,9976,34525,-34525,0,-24549
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Apache Canada Ltd.,24549,98218,122767,-122767,0,-24549
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Apache Canada Ltd.,24549,9089,33638,-33638,0,-24549
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Apache Canada Ltd.,24549,89101,113650,-113650,0,-24549
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Apache Canada Ltd.,24549,6420,30969,-30969,0,-24549
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Apache Canada Ltd.,24549,45801,70350,-70350,0,-24549
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Apache Canada Ltd.,24549,4124,28673,-28673,0,-24549
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Apache Canada Ltd.,24549,373530,398079,-398079,0,-24549
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Apache Canada Ltd.,24549,3430,27979,-27979,0,-24549
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Apache Canada Ltd.,24549,34224,58773,-58773,0,-24549
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Apache Canada Ltd.,24549,1994,26543,-26543,0,-24549
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Apache Canada Ltd.,24549,1775,26324,-26324,0,-24549
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Apache Canada Ltd.,24549,168913,193462,-193462,0,-24549
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Apache Canada Ltd.,24549,16487,41036,-41036,0,-24549
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Apache Canada Ltd.,24549,10035,34584,-34584,0,-24549
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Apache Canada Ltd.,24549,#VALUE!, -   ,#VALUE!,0,-24549
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Apache Canada Ltd.,24549,#VALUE!, -   ,#VALUE!,0,-24549
