Facility,Company.x,Total.Industrial.Process.2010,Total.Flaring.2010,Total.Venting.2010,Total.Fugitive.2010,Total.On.site.Transportation.2010,Total.Waste.2010,Total.Wastewater.2010,Total.untaxed.2010,Total.Industrial.Process.2011,Total.Flaring.2011,Total.Venting.2011,Total.Fugitive.2011,Total.On.site.Transportation.2011,Total.Waste.2011,Total.Wastewater.2011,Total.untaxed.2011,Total.Industrial.Process.2012,Total.Flaring.2012,Total.Venting.2012,Total.Fugitive.2012,Total.On.site.Transportation.2012,Total.Waste.2012,Total.Wastewater.2012,Total.untaxed.2012
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NAL Resources Ltd.,0,0,0,1787,0,0,0,1787, -   ,4162,3370,14438, -   , -   , -   ,21970,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NAL Resources Ltd.,0,0,0,1787,0,0,0,1787, -   ,5781,98255,84183, -   , -   , -   ,188219,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NAL Resources Ltd.,0,0,0,1787,0,0,0,1787, -   ,22252,4043,456, -   , -   , -   ,26751,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NAL Resources Ltd.,0,0,0,1787,0,0,0,1787, -   ,2454,4504,4804, -   , -   , -   ,11762,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NAL Resources Ltd.,0,0,0,1787,0,0,0,1787, -   , -   ,22,567, -   , -   , -   ,589,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NAL Resources Ltd.,0,0,0,1787,0,0,0,1787, -   ,6118, -   ,1151, -   , -   , -   ,7269,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NAL Resources Ltd.,0,0,0,1787,0,0,0,1787, -   ,2617,6462,16537, -   , -   , -   ,25616,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NAL Resources Ltd.,0,0,0,1787,0,0,0,1787, -   ,2176,10400,14379, -   , -   , -   ,26955,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NAL Resources Ltd.,0,0,0,1787,0,0,0,1787, -   ,10293,2418,6518, -   , -   , -   ,19229,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NAL Resources Ltd.,0,0,0,1787,0,0,0,1787, -   ,1684,10,334, -   , -   , -   ,2028,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NAL Resources Ltd.,0,0,0,1787,0,0,0,1787, -   ,2547,7039,6792, -   , -   , -   ,16378,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NAL Resources Ltd.,0,0,0,1787,0,0,0,1787, -   ,10808,16835,18303, -   , -   , -   ,45946,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NAL Resources Ltd.,0,0,0,1787,0,0,0,1787, -   ,1504, -   ,550, -   , -   , -   ,2054,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NAL Resources Ltd.,0,0,0,1787,0,0,0,1787, -   ,1260,4232,1678, -   , -   , -   ,7170,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NAL Resources Ltd.,0,0,0,1787,0,0,0,1787, -   ,1006,9255,16013, -   , -   , -   ,26274,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NAL Resources Ltd.,0,0,0,1787,0,0,0,1787, -   ,2078,14475,10926, -   , -   , -   ,27479,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NAL Resources Ltd.,0,0,0,1787,0,0,0,1787, -   , -   ,8152,1784, -   , -   , -   ,9936,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NAL Resources Ltd.,0,0,0,1787,0,0,0,1787, -   ,2756,10924,8261, -   , -   , -   ,21941,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   ,1898,12945,20444, -   , -   , -   ,35287,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NAL Resources Ltd.,0,0,0,1787,0,0,0,1787, -   , -   ,254,1097, -   , -   , -   ,1351,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NAL Resources Ltd.,0,0,0,1787,0,0,0,1787, -   ,2,13440,60541, -   , -   , -   ,73983,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   ,34119,22384,13843, -   , -   , -   ,70346,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   ,24, -   ,702, -   , -   , -   ,726,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   ,4162,3370,14438, -   , -   , -   ,21970,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   ,5781,98255,84183, -   , -   , -   ,188219,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NAL Resources Ltd.,0,0,0,1787,0,0,0,1787, -   , -   , -   ,27828, -   , -   , -   ,27828,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NAL Resources Ltd.,0,0,0,1787,0,0,0,1787, -   ,9573,16712,16553, -   , -   , -   ,42838,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NAL Resources Ltd.,0,0,0,1787,0,0,0,1787, -   ,585,16591,12557, -   , -   , -   ,29733,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   , -   ,30,142, -   , -   , -   ,172,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   , -   ,3329,7850, -   , -   , -   ,11179,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   ,500,5616,6922, -   , -   , -   ,13038,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   ,5138,2402,3937, -   , -   , -   ,11477,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   ,6923,18897,16276, -   , -   , -   ,42096,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   ,236,5783,1127, -   , -   , -   ,7146,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   ,66236,101507,68734, -   , -   , -   ,236477,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   ,1398,19,7842, -   , -   , -   ,9259,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   ,11600,3061,8369, -   , -   , -   ,23030,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   ,170,513,1246, -   , -   , -   ,1929,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   ,1898,12945,20444, -   , -   , -   ,35287,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   ,2662,1566,1292, -   , -   , -   ,5520,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   , -   , -   ,1311, -   , -   , -   ,1311,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   ,34119,22384,13843, -   , -   , -   ,70346,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   ,24, -   ,702, -   , -   , -   ,726,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   ,4162,3370,14438, -   , -   , -   ,21970,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   ,5781,98255,84183, -   , -   , -   ,188219,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   ,22252,4043,456, -   , -   , -   ,26751,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   ,2454,4504,4804, -   , -   , -   ,11762,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   , -   ,22,567, -   , -   , -   ,589,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   ,6118, -   ,1151, -   , -   , -   ,7269,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   ,2617,6462,16537, -   , -   , -   ,25616,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   ,2176,10400,14379, -   , -   , -   ,26955,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   ,10293,2418,6518, -   , -   , -   ,19229,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   ,1684,10,334, -   , -   , -   ,2028,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   ,2547,7039,6792, -   , -   , -   ,16378,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   ,10808,16835,18303, -   , -   , -   ,45946,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   ,1504, -   ,550, -   , -   , -   ,2054,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   ,1260,4232,1678, -   , -   , -   ,7170,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   ,1006,9255,16013, -   , -   , -   ,26274,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   ,2078,14475,10926, -   , -   , -   ,27479,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   , -   ,8152,1784, -   , -   , -   ,9936,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   ,2756,10924,8261, -   , -   , -   ,21941,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   ,3008,4102,10677, -   , -   , -   ,17787,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   , -   ,254,1097, -   , -   , -   ,1351,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   ,2,13440,60541, -   , -   , -   ,73983,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   ,11,665,233, -   , -   , -   ,909,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   ,12159,1347,3253, -   , -   , -   ,16759,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   ,1823,1741,11794, -   , -   , -   ,15358,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   ,24840,152515,311153, -   , -   , -   ,488508,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   , -   , -   ,27828, -   , -   , -   ,27828,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   ,9573,16712,16553, -   , -   , -   ,42838,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,0,576,0,0,0,0,0,576, -   ,585,16591,12557, -   , -   , -   ,29733,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,0,9176,1083,1557,0,0,0,11816, -   , -   ,30,142, -   , -   , -   ,172,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,0,9176,1083,1557,0,0,0,11816, -   , -   ,3329,7850, -   , -   , -   ,11179,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,0,9176,1083,1557,0,0,0,11816, -   ,500,5616,6922, -   , -   , -   ,13038,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,0,9176,1083,1557,0,0,0,11816, -   ,5138,2402,3937, -   , -   , -   ,11477,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,0,9176,1083,1557,0,0,0,11816, -   ,6923,18897,16276, -   , -   , -   ,42096,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,0,9176,1083,1557,0,0,0,11816, -   ,236,5783,1127, -   , -   , -   ,7146,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,0,9176,1083,1557,0,0,0,11816, -   ,66236,101507,68734, -   , -   , -   ,236477,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,0,9176,1083,1557,0,0,0,11816, -   ,1398,19,7842, -   , -   , -   ,9259,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,0,9176,1083,1557,0,0,0,11816, -   ,11600,3061,8369, -   , -   , -   ,23030,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,0,9176,1083,1557,0,0,0,11816, -   ,170,513,1246, -   , -   , -   ,1929,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,0,9176,1083,1557,0,0,0,11816, -   ,1898,12945,20444, -   , -   , -   ,35287,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,0,9176,1083,1557,0,0,0,11816, -   ,2662,1566,1292, -   , -   , -   ,5520,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,0,9176,1083,1557,0,0,0,11816, -   , -   , -   ,1311, -   , -   , -   ,1311,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,0,9176,1083,1557,0,0,0,11816, -   ,34119,22384,13843, -   , -   , -   ,70346,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,0,9176,1083,1557,0,0,0,11816, -   ,24, -   ,702, -   , -   , -   ,726,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,0,9176,1083,1557,0,0,0,11816, -   ,4162,3370,14438, -   , -   , -   ,21970,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,0,9176,1083,1557,0,0,0,11816, -   ,5781,98255,84183, -   , -   , -   ,188219,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,0,9176,1083,1557,0,0,0,11816, -   ,22252,4043,456, -   , -   , -   ,26751,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,0,9176,1083,1557,0,0,0,11816, -   ,2454,4504,4804, -   , -   , -   ,11762,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,0,9176,1083,1557,0,0,0,11816, -   , -   ,22,567, -   , -   , -   ,589,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,0,9176,1083,1557,0,0,0,11816, -   ,6118, -   ,1151, -   , -   , -   ,7269,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,0,9176,1083,1557,0,0,0,11816, -   ,2617,6462,16537, -   , -   , -   ,25616,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,0,9176,1083,1557,0,0,0,11816, -   ,2176,10400,14379, -   , -   , -   ,26955,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,0,9176,1083,1557,0,0,0,11816, -   ,10293,2418,6518, -   , -   , -   ,19229,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,0,9176,1083,1557,0,0,0,11816, -   ,1684,10,334, -   , -   , -   ,2028,NA,NA,NA,NA,NA,NA,NA,0
